prov_id,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020
405,4748.424080000001,4992.20381,5281.63815,5619.03839,5990.44221,6435.60427,6933.15306,7496.2425299999995,8150.501560000001,8883.419160000001,9722.92063,10661.01653,11759.829399999999,12979.40472,14376.58836,15932.5308,17712.77839,19743.27706,22050.06443,24662.00448
406,14325.5786,14308.0108,14266.0137,14606.8679,14949.8223,15006.208999999999,15164.5122,15229.784599999999,15394.5435,15559.9717,15696.0957,16225.758399999999,16159.1919,16349.2231,16377.0998,16570.0352,16966.5083,17068.8782,17272.9106,17478.0051
407,24036.403299999998,24496.405700000003,24993.026100000003,25205.7594,25772.254999999997,26257.670400000003,26719.4274,27491.178499999998,28066.7705,28507.491100000003,29293.7477,29474.1031,30325.8549,31006.9102,31590.350899999998,32215.8687,32619.5838,33421.5515,34076.7597,34758.6651
408,11833.713099999999,12067.9253,12313.8374,12572.9417,12852.6663,13119.498899999999,13387.8865,13682.8235,13981.9083,14285.1257,14615.9938,14950.512200000001,15282.844,15612.1133,16007.0967,16336.186099999999,16718.1857,17101.2134,17500.141200000002,17908.9054
409,6946.64545,7205.67476,7486.15708,7785.97292,8107.89425,8413.61001,8769.69098,9116.77982,9490.70924,9895.673429999999,10323.11655,10770.00112,11246.77602,11736.235139999999,12207.58209,12727.89039,13282.29832,13834.59613,14433.5427,15069.0529
410,8941.54,9298.5264,10092.328,11054.084,10345.635,11077.015,11329.195,11703.395,11993.136,12041.498,11704.232,11698.489,12260.566,12334.207,12359.576,12526.566,12801.909,13129.845,13480.3,13760.6
411,5623.0439,5606.0439,5580.5957,5545.2178,5606.21,5596.9585,5555.8262,5554.3862,5557.9629,5598.0254,5583.9033,5525.4751,5528.8555,5525.3252,5555.6182,5535.0029,5537.4121,5550.9316,5527.3311,5534.4375
412,6208.5259,6296.3927,6387.1812,6472.3115,6569.012,6674.123,6787.6419000000005,6883.5473999999995,6981.940500000001,7079.469800000001,7178.5799,7284.0378,7364.928099999999,7501.3526999999995,7615.304700000001,7734.5552,7862.3394,7992.686299999999,8114.517900000001,8248.0571
413,4806.8779,4855.0972,4903.9863,4950.458,5002.8096,5053.9092,5091.7139,5142.4985,5193.4453,5246.2148,5297.0508,5358.7734,5412.9419,5460.4932,5517.1689,5575.5186,5634.415,5690.9209,5752.7114,5811.2432
414,10122.455,10412.156,10695.973,11005.893,11307.682,11630.251,11953.505,12288.588,12642.961,13022.521,13372.785,13726.535,14102.0,14513.48,14922.045,15360.563,15800.41,16274.927,16737.682,17209.066
415,1078.10306,1133.27841,1188.06393,1257.0426,1322.81952,1400.9831,1472.50376,1563.16669,1646.29083,1730.61853,1833.73162,1940.75532,2056.28614,2179.0860599999996,2310.81604,2450.88856,2602.82314,2755.80306,2920.81974,3098.50019
416,5822.3477,5784.3071,5771.5146,5761.4287,5722.6021,5692.6758,5688.2686,5657.8984,5642.3765,5613.2695,5586.9546,5560.1597,5535.457,5514.3237,5493.6211,5483.959,5468.2134,5447.0879,5426.9238,5402.3086
501,173195.121,177761.1071,182335.1429,186679.2965,190548.0729,195436.548,200452.054,205343.5533,209829.9274,215313.1092,220333.8546,225178.8657,230980.545,236809.5307,243289.99070000002,249030.27879999997,254496.3788,261018.0671,267348.6166,273729.7577
502,74380.6042,75406.2138,76432.3961,77276.63,78190.3371,79340.6339,80271.8824,81161.7343,82235.4841,83343.257,84301.0735,85074.0395,86123.52960000001,87130.38759999999,88287.2957,89535.372,90576.08799999999,91729.335,92947.71900000001,94057.445
503,61243.704,60716.095,60182.238,59989.088,60320.682,59752.454,59315.380999999994,59006.271,59302.143,58837.968,58745.62,58924.687000000005,58418.824,58058.259999999995,57398.151,57222.831000000006,57428.142,56936.633,56768.271,56654.368
